2026-05-18 01:02:26,615 | PipelineRunner | INFO | LDA parameters - maxdf: 0.9, mindf: 5, number of topics: 19, learning method: batch
2026-05-18 01:02:26,615 | PipelineRunner | INFO | Building LDA pipeline
2026-05-18 01:02:26,615 | LDA PipelineBuilder | INFO | Building LDA topic modeling pipeline
2026-05-18 01:02:26,616 | LDA PipelineBuilder | INFO | LDA pipeline built successfully
2026-05-18 01:02:26,616 | PipelineRunner | INFO | LDA pipeline built successfully
2026-05-18 01:02:26,625 | PipelineRunner | INFO | Training LDA pipeline
2026-05-18 01:02:26,625 | Training | INFO | Starting LDA model training
2026-05-18 01:02:30,285 | Training | INFO | Fitting LDA pipeline to the data
2026-05-18 01:06:04,499 | Training | INFO | LDA pipeline fitted successfully, calculating perplexity and coherence scores
2026-05-18 01:07:31,593 | Training | INFO | LDA Model Perplexity: 5111.76257500974
2026-05-18 01:07:31,594 | Training | INFO | saving LDA model perplexity score to file
2026-05-18 01:07:31,595 | Training | INFO | Calculating LDA model coherence score
2026-05-18 01:07:31,773 | Training | INFO | LDA Model Coherence Score: 0.5371609307181953
2026-05-18 01:07:31,774 | Training | INFO | saved LDA model coherence score to file
2026-05-18 01:07:31,799 | Training | INFO | Saved LDA topics to file
2026-05-18 01:07:31,982 | Training | INFO | LDA model saved successfully
2026-05-18 01:07:31,982 | Training | INFO | LDA model training completed successfully
2026-05-18 01:07:32,081 | PipelineRunner | INFO | LDA pipeline trained and saved successfully
2026-05-18 01:07:32,081 | PipelineRunner | INFO | Testing LDA pipeline with custom examples
2026-05-18 01:07:32,081 | Testing | INFO | Loading LDA model for testing
2026-05-18 01:07:32,198 | Testing | INFO | Testing LDA pipeline with custom examples
2026-05-18 01:07:32,203 | Testing | INFO | LDA pipeline testing completed, saving results
2026-05-18 01:07:32,204 | Testing | INFO | LDA pipeline testing results saved successfully
2026-05-18 01:07:32,206 | PipelineRunner | INFO | LDA pipeline testing completed successfully
2026-05-18 01:07:32,206 | PipelineRunner | INFO | Testing Sentiment pipeline with custom examples
2026-05-18 01:07:32,206 | Testing | INFO | Loading Sentiment model for testing
2026-05-18 01:07:33,304 | Testing | INFO | Sentiment pipeline testing completed, results saved
2026-05-18 01:07:33,304 | PipelineRunner | INFO | Sentiment pipeline testing completed successfully
2026-05-18 01:07:33,304 | PipelineRunner | INFO | Pipeline run completed successfully
2026-05-18 01:07:33,396 | Main Runner | INFO | Model Training and TestingPipeline Ended
2026-05-18 15:49:32,177 | Main | INFO | Loading models at startup
2026-05-18 15:49:32,373 | Main | INFO | All models loaded successfully
2026-05-18 15:52:38,093 | Main | INFO | Shutting down
2026-05-18 15:52:50,350 | Main | INFO | Loading models at startup
2026-05-18 15:52:50,446 | Main | INFO | All models loaded successfully
2026-05-18 15:56:34,221 | Main | INFO | Shutting down
2026-05-18 15:56:46,207 | Main | INFO | Loading models at startup
2026-05-18 15:56:46,316 | Main | INFO | All models loaded successfully
2026-05-18 15:56:56,723 | Main | INFO | Loading models at startup
2026-05-18 15:56:56,862 | Main | INFO | All models loaded successfully
2026-05-18 15:57:09,861 | Main | INFO | Loading models at startup
2026-05-18 15:57:10,250 | Main | INFO | All models loaded successfully
2026-05-18 15:57:20,440 | Main | INFO | Loading models at startup
2026-05-18 15:57:20,557 | Main | INFO | All models loaded successfully
2026-05-18 16:02:58,087 | Main | INFO | Shutting down
2026-05-18 18:51:13,643 | Main | INFO | Loading models at startup
2026-05-18 18:51:13,820 | Main | INFO | All models loaded successfully
2026-05-18 19:00:07,761 | Main | INFO | Shutting down
